LotFrontage,LotArea,MasVnrArea,HeatingQC,LowQualFinSF,GrLivArea,BedroomAbvGr,TotRmsAbvGrd,GarageCars,SalePrice,MSSubClass__30,MSSubClass__50,MSSubClass__60,MSSubClass__70,MSSubClass__80,MSSubClass__90,MSSubClass__120,MSSubClass__160,MSSubClass__Other,MSZoning__Other,MSZoning__RL,MSZoning__RM,LotShape__Other,LotShape__Reg,LandContour__NotLvl,LotConfig__CulDSac,LotConfig__Inside,LotConfig__Other,Neighborhood__Blueste,Neighborhood__BrDale,Neighborhood__BrkSide,Neighborhood__ClearCr,Neighborhood__CollgCr,Neighborhood__Crawfor,Neighborhood__Edwards,Neighborhood__Gilbert,Neighborhood__IDOTRR,Neighborhood__MeadowV,Neighborhood__Mitchel,Neighborhood__NAmes,Neighborhood__NPkVill,Neighborhood__NWAmes,Neighborhood__NoRidge,Neighborhood__NridgHt,Neighborhood__OldTown,Neighborhood__SWISU,Neighborhood__Sawyer,Neighborhood__SawyerW,Neighborhood__Somerst,Neighborhood__StoneBr,Neighborhood__Timber,Neighborhood__Veenker,Condition1__Feedr,Condition1__Norm,Condition1__Other,OverallQualCond,Age,Rem_Age,RoofStyle__Hip,RoofStyle__Other,RoofMatl__NotShingle,Exterior1st__CemntBd,Exterior1st__HdBoard,Exterior1st__MetalSd,Exterior1st__Other,Exterior1st__VinylSd,Exterior1st__Wood,Exterior2nd__BrkFace,Exterior2nd__CmentBd,Exterior2nd__HdBoard,Exterior2nd__MetalSd,Exterior2nd__Other,Exterior2nd__VinylSd,Exterior2nd__Wd Shng,Exterior2nd__Wood,MasVnrType__None,MasVnrType__Stone,ExterQualCond,Foundation__CBlock,Foundation__PConc,Foundation__Slab,Foundation__Stone,Foundation__Wood,Bsmt_Score,Heating__NotGasA,CentralAir_Bin,Electrical__SBrkr,TotalSF,TotalBath,KitchenScore,Functional__nonFunc,Fireplace_Score,GarageType__Detchd,GarageType__Other,Gar_Age,GarageFinish__RFn,GarageFinish__Unf,GarageScore,PavedDrive__P,PavedDrive__Y,Porch_Deck_SF,PoolScore,Shed,MoSold__2,MoSold__3,MoSold__4,MoSold__5,MoSold__6,MoSold__7,MoSold__8,MoSold__9,MoSold__10,MoSold__11,MoSold__12,YrSold__2007,YrSold__2008,YrSold__2009,YrSold__2010,SaleType__CWD,SaleType__Con,SaleType__ConLD,SaleType__ConLI,SaleType__ConLw,SaleType__New,SaleType__Oth,SaleType__WD,SaleCondition__AdjLand,SaleCondition__Alloca,SaleCondition__Family,SaleCondition__Normal,SaleCondition__Partial
91.0,10652,306.0,5,0,1494,3,7,3,279500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,35,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,12,0,1,0,0,0,0.0,0,1,1,2988,2.0,4,0,4.0,0,0,1.0,1,0,7560.0,0,1,193,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,10920,212.0,3,0,1253,2,5,1,157000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30,48,48,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,9,1,0,0,0,0,6597.0,0,1,1,2506,2.5,3,0,2.0,0,0,48.0,1,0,3168.0,0,1,389,,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
51.0,6120,0.0,5,0,854,2,5,2,132000,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,56,78,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,9,0,0,0,0,0,0.0,0,1,0,1686,1.0,3,0,,1,0,16.0,0,1,5184.0,0,1,160,,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
,11241,180.0,5,0,1004,2,5,2,149000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,42,40,40,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,9,1,0,0,0,0,5202.0,0,1,1,2008,2.0,3,0,3.0,0,0,40.0,0,0,4320.0,0,1,0,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
72.0,10791,0.0,3,0,1296,2,6,2,90000,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,20,39,39,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,9,0,0,1,0,0,,0,1,1,1296,2.0,6,0,,0,1,39.0,0,1,4644.0,0,1,0,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
66.0,13695,0.0,5,0,1114,3,6,2,159000,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,25,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,9,0,1,0,0,0,5813.999999999999,0,1,1,2228,2.5,4,0,,1,0,4.0,0,1,5184.0,0,1,102,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
70.0,7560,0.0,3,0,1339,3,6,1,139000,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30,51,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,9,1,0,0,0,0,4536.0,0,1,1,2368,1.0,3,1,,0,0,51.0,0,1,2646.0,0,1,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101.0,14215,380.0,5,0,2376,4,9,3,325300,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,40,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,12,0,1,0,0,0,0.0,0,1,1,3534,3.5,4,0,4.0,0,0,1.0,1,0,7677.0,0,1,394,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
57.0,7449,0.0,5,0,1108,3,6,1,139400,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,49,77,57,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,9,0,1,0,0,0,0.0,0,1,0,1745,1.0,4,0,4.0,0,0,77.0,0,1,2520.0,0,0,205,,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
75.0,9742,281.0,5,0,1795,3,7,2,230000,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,40,6,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,12,0,1,0,0,0,0.0,0,1,1,3572,2.0,4,0,4.0,0,0,6.0,1,0,4806.0,0,1,330,,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
44.0,4224,0.0,3,0,1060,3,6,2,129900,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,35,31,31,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,9,0,1,0,0,0,10080.000000000002,0,1,1,2100,2.0,3,0,3.0,0,0,31.0,0,1,5148.0,0,1,210,,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
,8246,0.0,5,0,1060,3,6,1,154000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,40,42,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,12,1,0,0,0,0,7704.000000000001,0,1,1,2120,2.0,4,0,3.0,0,0,42.0,0,1,2430.0,0,1,496,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
110.0,14230,640.0,5,0,1600,3,7,3,256300,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,40,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,12,0,1,0,0,0,0.0,0,1,1,3166,2.0,4,0,4.0,0,0,2.0,1,0,8010.0,0,1,56,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
60.0,7200,0.0,3,0,900,3,5,2,134800,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,35,59,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,9,1,0,0,0,0,6480.0,0,1,1,1800,1.5,4,0,,1,0,5.0,0,1,5184.0,0,1,254,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
98.0,11478,200.0,5,0,1704,3,7,3,306000,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,40,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,12,0,1,0,0,0,18270.0,0,1,1,3408,3.0,4,0,4.0,0,0,2.0,1,0,6948.0,0,1,50,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
47.0,16321,0.0,3,0,1600,2,6,1,207500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30,49,9,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,9,1,0,0,0,0,11493.0,0,1,1,3084,2.0,3,0,8.0,0,0,49.0,1,0,2871.0,0,1,546,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
60.0,6324,0.0,2,0,520,1,4,1,68500,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24,81,58,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,9,0,0,0,0,0,0.0,0,0,1,1040,1.0,2,0,,1,0,88.0,0,1,1440.0,0,1,136,,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
50.0,8500,0.0,3,0,1317,3,6,1,40000,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,88,58,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0.0,0,0,1,1966,1.0,3,0,,1,0,88.0,0,1,1500.0,0,0,226,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
,8544,0.0,4,0,1228,3,6,1,149350,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,30,42,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,9,1,0,0,0,0,0.0,0,1,1,2456,1.5,4,0,,0,0,42.0,0,1,2439.0,0,1,65,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
85.0,11049,0.0,5,0,1234,3,7,2,179900,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,40,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,12,0,1,0,0,0,0.0,0,1,1,2468,2.0,4,0,,0,0,1.0,1,0,4356.0,0,1,30,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
70.0,10552,0.0,4,0,1700,4,6,2,165500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,51,51,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,9,1,0,0,0,0,9162.0,0,1,1,3098,2.0,4,0,4.0,0,0,51.0,1,0,4023.0,0,1,38,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
60.0,7313,246.0,5,0,1561,2,6,2,277500,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,45,2,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,15,0,1,0,0,0,17294.999999999996,0,1,1,3122,3.0,5,0,4.0,0,0,2.0,0,0,5004.0,0,1,250,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
108.0,13418,132.0,5,0,2452,4,9,3,309000,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,40,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,12,0,1,0,0,0,0.0,0,1,1,3569,3.5,4,0,4.0,0,0,2.0,0,0,6219.0,0,1,145,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
112.0,10859,0.0,5,0,1097,3,6,2,145000,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,15,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,9,0,1,0,0,0,0.0,0,1,1,2194,1.5,3,0,,0,0,14.0,0,1,6048.0,0,1,456,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
74.0,8532,650.0,4,0,1297,3,5,2,153000,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30,55,19,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,9,1,0,0,0,0,10917.0,0,1,1,2594,1.5,3,0,3.0,0,0,55.0,0,0,4482.0,0,1,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
68.0,7922,0.0,3,0,1057,3,5,1,109000,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,35,57,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,12,1,0,0,0,0,6579.0,0,1,1,2114,2.0,4,0,,1,0,57.0,0,1,2214.0,0,1,52,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
65.0,6040,0.0,3,0,1152,2,6,0,82000,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,53,53,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,9,0,1,0,0,0,,0,0,0,1152,2.0,4,0,,0,0,,0,0,,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
