LotFrontage,LotArea,MasVnrArea,HeatingQC,LowQualFinSF,GrLivArea,BedroomAbvGr,TotRmsAbvGrd,GarageCars,SalePrice,MSSubClass__30,MSSubClass__50,MSSubClass__60,MSSubClass__70,MSSubClass__80,MSSubClass__90,MSSubClass__120,MSSubClass__160,MSSubClass__Other,MSZoning__Other,MSZoning__RL,MSZoning__RM,LotShape__Other,LotShape__Reg,LandContour__NotLvl,LotConfig__CulDSac,LotConfig__Inside,LotConfig__Other,Neighborhood__Blueste,Neighborhood__BrDale,Neighborhood__BrkSide,Neighborhood__ClearCr,Neighborhood__CollgCr,Neighborhood__Crawfor,Neighborhood__Edwards,Neighborhood__Gilbert,Neighborhood__IDOTRR,Neighborhood__MeadowV,Neighborhood__Mitchel,Neighborhood__NAmes,Neighborhood__NPkVill,Neighborhood__NWAmes,Neighborhood__NoRidge,Neighborhood__NridgHt,Neighborhood__OldTown,Neighborhood__SWISU,Neighborhood__Sawyer,Neighborhood__SawyerW,Neighborhood__Somerst,Neighborhood__StoneBr,Neighborhood__Timber,Neighborhood__Veenker,Condition1__Feedr,Condition1__Norm,Condition1__Other,OverallQualCond,Age,Rem_Age,RoofStyle__Hip,RoofStyle__Other,RoofMatl__NotShingle,Exterior1st__CemntBd,Exterior1st__HdBoard,Exterior1st__MetalSd,Exterior1st__Other,Exterior1st__VinylSd,Exterior1st__Wood,Exterior2nd__BrkFace,Exterior2nd__CmentBd,Exterior2nd__HdBoard,Exterior2nd__MetalSd,Exterior2nd__Other,Exterior2nd__VinylSd,Exterior2nd__Wd Shng,Exterior2nd__Wood,MasVnrType__None,MasVnrType__Stone,ExterQualCond,Foundation__CBlock,Foundation__PConc,Foundation__Slab,Foundation__Stone,Foundation__Wood,Bsmt_Score,Heating__NotGasA,CentralAir_Bin,Electrical__SBrkr,TotalSF,TotalBath,KitchenScore,Functional__nonFunc,Fireplace_Score,GarageType__Detchd,GarageType__Other,Gar_Age,GarageFinish__RFn,GarageFinish__Unf,GarageScore,PavedDrive__P,PavedDrive__Y,Porch_Deck_SF,PoolScore,Shed,MoSold__2,MoSold__3,MoSold__4,MoSold__5,MoSold__6,MoSold__7,MoSold__8,MoSold__9,MoSold__10,MoSold__11,MoSold__12,YrSold__2007,YrSold__2008,YrSold__2009,YrSold__2010,SaleType__CWD,SaleType__Con,SaleType__ConLD,SaleType__ConLI,SaleType__ConLw,SaleType__New,SaleType__Oth,SaleType__WD,SaleCondition__AdjLand,SaleCondition__Alloca,SaleCondition__Family,SaleCondition__Normal,SaleCondition__Partial
70.0,11200,0.0,5,0,1040,3,5,1,0.308157699397028,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,25,43,43,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,9,1,0,0,0,0,8154.0,0,1,1,7.010181845089503,2.0,3,0,,1,0,43.0,0,1,470.2661512162376,0,1,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
85.0,11924,286.0,5,0,2324,4,11,3,0.2793946530498481,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,45,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,15,0,1,0,0,0,14970.000000000002,0,1,1,7.868881897808029,4.0,5,0,8.0,0,0,1.0,0,0,750.891160407695,0,1,168,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,12968,0.0,3,0,912,2,4,1,0.3049044415509318,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,30,46,46,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,9,1,0,0,0,0,6633.0,0,1,1,6.816527020554952,2.0,3,0,,1,0,46.0,0,1,442.20714783674885,0,1,316,,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
91.0,10652,306.0,5,0,1494,3,7,3,0.285339449333634,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,35,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,12,0,1,0,0,0,0.0,0,1,1,7.592461271901843,2.0,4,0,4.0,0,0,1.0,1,0,826.8719556762549,0,1,193,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,10920,212.0,3,0,1253,2,5,1,0.30228043238058544,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30,48,48,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,9,1,0,0,0,0,6597.0,0,1,1,7.300755569456199,2.5,3,0,2.0,0,0,48.0,1,0,442.20714783674885,0,1,389,,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
51.0,6120,0.0,5,0,854,2,5,2,0.30756903275811065,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,56,78,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,9,0,0,0,0,0,0.0,0,1,0,6.704888782521157,1.0,3,0,,1,0,16.0,0,1,628.6215725577201,0,1,160,,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
,11241,180.0,5,0,1004,2,5,2,0.30386548517032336,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,42,40,40,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,9,1,0,0,0,0,5202.0,0,1,1,6.957337510939353,2.0,3,0,3.0,0,0,40.0,0,0,551.3480974412386,0,1,0,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
72.0,10791,0.0,3,0,1296,2,6,2,0.3195771718380609,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,20,39,39,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,9,0,0,1,0,0,,0,1,1,6.354969788489741,2.0,6,0,,0,1,39.0,0,1,580.7247504641199,0,1,0,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
66.0,13695,0.0,5,0,1114,3,6,2,0.3018980358900045,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,25,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,9,0,1,0,0,0,5813.999999999999,0,1,1,7.115200646179176,2.5,4,0,,1,0,4.0,0,1,628.6215725577201,0,1,102,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
70.0,7560,0.0,3,0,1339,3,6,1,0.3059838607060835,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30,51,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,9,1,0,0,0,0,4536.0,0,1,1,7.2104357514802,1.0,3,1,,0,0,51.0,0,1,389.7540173768749,0,1,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101.0,14215,380.0,5,0,2376,4,9,3,0.28104223702503056,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,40,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,12,0,1,0,0,0,0.0,0,1,1,7.886779200683632,3.5,4,0,4.0,0,0,1.0,1,0,836.2035026197442,0,1,394,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
57.0,7449,0.0,5,0,1108,3,6,1,0.30589594688073585,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,49,77,57,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,9,0,1,0,0,0,0.0,0,1,0,6.753296750770361,1.0,4,0,4.0,0,0,77.0,0,1,376.7440536437547,0,0,205,,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
75.0,9742,281.0,5,0,1795,3,7,2,0.2909559322658992,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,40,6,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,12,0,1,0,0,0,0.0,0,1,1,7.906073596421149,2.0,4,0,4.0,0,0,6.0,1,0,595.2277820420172,0,1,330,,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
44.0,4224,0.0,3,0,1060,3,6,2,0.3080626769051482,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,35,31,31,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,9,0,1,0,0,0,10080.000000000002,0,1,1,7.024650821635287,2.0,3,0,3.0,0,0,31.0,0,1,625.4670682866007,0,1,210,,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
,8246,0.0,5,0,1060,3,6,1,0.30286419110079227,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,40,42,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,12,1,0,0,0,0,7704.000000000001,0,1,1,7.039030939507937,2.0,4,0,3.0,0,0,42.0,0,1,367.3589593033158,0,1,496,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
110.0,14230,640.0,5,0,1600,3,7,3,0.28782276395013945,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,40,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,12,0,1,0,0,0,0.0,0,1,1,7.69215501468529,2.0,4,0,4.0,0,0,2.0,1,0,862.5753421273622,0,1,56,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
60.0,7200,0.0,3,0,900,3,5,2,0.3069241139607353,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,35,59,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,9,1,0,0,0,0,6480.0,0,1,1,6.79750396900154,1.5,4,0,,1,0,5.0,0,1,628.6215725577201,0,1,254,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
98.0,11478,200.0,5,0,1704,3,7,3,0.2827664355737533,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,40,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,12,0,1,0,0,0,18270.0,0,1,1,7.821768477254342,3.0,4,0,4.0,0,0,2.0,1,0,777.4705957173198,0,1,50,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
47.0,16321,0.0,3,0,1600,2,6,1,0.2939667357167469,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30,49,9,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,9,1,0,0,0,0,11493.0,0,1,1,7.646712733206006,2.0,3,0,8.0,0,0,49.0,1,0,412.6348538202401,0,1,546,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
60.0,6324,0.0,2,0,520,1,4,1,0.3284210179372046,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24,81,58,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,9,0,0,0,0,0,0.0,0,0,1,6.089416428154533,1.0,2,0,,1,0,88.0,0,1,257.82880503918966,0,1,136,,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
50.0,8500,0.0,3,0,1317,3,6,1,0.3465724215775732,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,88,58,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0.0,0,0,1,6.9259468537410696,1.0,3,0,,1,0,88.0,0,1,264.8672333718895,0,0,226,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
,8544,0.0,4,0,1228,3,6,1,0.3037941994367215,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,30,42,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,9,1,0,0,0,0,0.0,0,1,1,7.268419069336135,1.5,4,0,,0,0,42.0,0,1,368.30103995332917,0,1,65,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
85.0,11049,0.0,5,0,1234,3,7,2,0.2981926150663528,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,40,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,12,0,1,0,0,0,0.0,0,1,1,7.276219208338641,2.0,4,0,,0,0,1.0,1,0,554.637553385014,0,1,30,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
70.0,10552,0.0,4,0,1700,4,6,2,0.30069084130092416,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,51,51,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,9,1,0,0,0,0,9162.0,0,1,1,7.654528613909612,2.0,4,0,4.0,0,0,51.0,1,0,523.9537248359424,0,1,38,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
60.0,7313,246.0,5,0,1561,2,6,2,0.28554443544268404,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,45,2,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,15,0,1,0,0,0,17294.999999999996,0,1,1,7.667871828894664,3.0,5,0,4.0,0,0,2.0,0,0,612.7954759351654,0,1,250,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
108.0,13418,132.0,5,0,2452,4,9,3,0.28249069822130357,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,40,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,12,0,1,0,0,0,0.0,0,1,1,7.904555484481922,3.5,4,0,4.0,0,0,2.0,0,0,717.2181495365131,0,1,145,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
112.0,10859,0.0,5,0,1097,3,6,2,0.3046935071712353,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,15,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,9,0,1,0,0,0,0.0,0,1,1,7.0914853058242056,1.5,3,0,,0,0,14.0,0,1,702.8423036020214,0,1,456,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
74.0,8532,650.0,4,0,1297,3,5,2,0.3030615617439273,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30,55,19,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,9,1,0,0,0,0,10917.0,0,1,1,7.356645737762505,1.5,3,0,3.0,0,0,55.0,0,0,566.0999523598804,0,1,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
